,Location,Property subtype,Price,Number of bedrooms,Living area,Kitchen,Furnished,Open fireplace,Terrace,Garden,Surface area land,Pool,Condition
720,Borgerhout,HOUSE,315000.0,3.0,183.0,True,False,False,True,False,0.0,False,True
721,Halle-Vilvoorde,HOUSE,475000.0,3.0,133.0,True,False,False,True,True,391.0,False,True
722,Nivelles,HOUSE,395000.0,4.0,270.0,True,False,False,True,False,187.0,False,True
726,Ath,VILLA,380000.0,4.0,250.0,False,False,False,True,True,0.0,False,True
727,Nivelles,HOUSE,195000.0,3.0,131.0,True,False,False,True,False,0.0,False,True
728,Waremme,HOUSE,305000.0,3.0,154.0,True,False,True,False,True,619.0,False,True
730,Oostende,HOUSE,199000.0,3.0,100.0,True,False,False,True,False,98.0,False,True
731,Nivelles,HOUSE,295000.0,2.0,133.0,True,False,False,True,True,475.0,False,True
732,Nivelles,HOUSE,397500.0,4.0,129.0,True,False,False,True,True,207.0,False,True
733,Ixelles - Elsene,HOUSE,480000.0,5.0,135.0,False,False,False,False,False,0.0,False,False
736,Halle-Vilvoorde,HOUSE,420000.0,4.0,165.0,True,False,True,True,True,226.0,False,True
738,Soignies,MIXED_USE_BUILDING,250000.0,2.0,289.0,False,False,False,True,True,220.0,False,True
739,Herstal,MIXED_USE_BUILDING,319000.0,0.0,270.0,True,False,False,False,False,1705.0,False,False
740,Flémalle,HOUSE,450000.0,3.0,200.0,True,False,False,True,True,1123.0,False,True
741,Juprelle,HOUSE,320000.0,4.0,180.0,True,False,False,True,True,1340.0,False,True
742,Herstal,APARTMENT_BLOCK,319000.0,0.0,270.0,True,False,False,False,False,1705.0,False,False
743,Nivelles,HOUSE,495000.0,5.0,198.0,True,False,False,True,True,277.0,False,True
744,Brugge,HOUSE,545000.0,4.0,204.0,False,False,True,False,True,767.0,False,True
746,Huy,HOUSE,229500.0,3.0,115.0,True,False,False,True,True,276.0,False,True
747,Halle-Vilvoorde,BUNGALOW,450000.0,3.0,100.0,False,False,False,False,True,1145.0,False,True
748,Nivelles,HOUSE,355000.0,2.0,185.0,False,False,False,False,False,555.0,False,True
749,Mons,HOUSE,275000.0,2.0,279.0,True,False,False,True,True,394.0,True,False
750,Nivelles,HOUSE,410000.0,4.0,190.0,True,False,False,True,True,160.0,False,True
751,Diksmuide,HOUSE,349000.0,3.0,170.0,True,False,True,True,True,713.0,False,True
754,Kortrijk,HOUSE,139000.0,3.0,225.0,False,False,False,True,True,277.0,False,True
756,Mons,HOUSE,139000.0,4.0,120.0,True,False,False,False,True,110.0,False,False
757,Brugge,HOUSE,795000.0,3.0,160.0,True,False,False,True,True,276.0,False,True
758,Nivelles,HOUSE,290000.0,4.0,198.0,True,False,False,True,True,1400.0,False,True
759,Halle-Vilvoorde,EXCEPTIONAL_PROPERTY,820000.0,3.0,261.0,True,False,False,True,True,1065.0,False,True
761,Oudenaarde,MIXED_USE_BUILDING,475000.0,4.0,170.0,True,False,False,True,True,769.0,False,False
762,Aalst,HOUSE,230000.0,3.0,156.0,True,False,False,True,False,382.0,False,True
763,Aalst,MIXED_USE_BUILDING,199900.0,3.0,90.0,True,False,False,True,True,250.0,False,True
764,Gent,MIXED_USE_BUILDING,215000.0,3.0,240.0,False,False,False,False,False,606.0,False,True
765,Tournai-Mouscron,HOUSE,309000.0,3.0,140.0,True,False,False,True,False,352.0,False,True
766,Oudenaarde,HOUSE,475000.0,4.0,170.0,True,False,False,True,True,769.0,False,False
767,Aalst,MIXED_USE_BUILDING,230000.0,3.0,156.0,True,False,False,True,False,382.0,False,True
